,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
108,0.3170740604400635,0.04879905214052194,0.0010002613067626952,2.86102294921875e-07,0.01,"(25, 25)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 20}",0.8186813186813187,0.7265193370165746,0.8105849582172702,0.8375350140056023,0.7605633802816901,0.7907623817473567,0.04101914563334154,194,0.8918353105373342,0.8703832752613241,0.8852573018080667,0.9104166666666667,0.8599167822468793,0.8835618673040541,0.01746579483154213
109,0.404491662979126,0.0904251016443454,0.001000356674194336,2.78041453115716e-07,0.01,"(25, 25)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 25}",0.7417582417582418,0.7569060773480663,0.841225626740947,0.8627450980392157,0.780281690140845,0.7963272120200334,0.04739401207740967,188,0.8513607815771109,0.8996515679442508,0.9429763560500696,0.9347222222222222,0.9181692094313454,0.9093760274449998,0.03258547402506787
110,0.3320753574371338,0.059255343366549494,0.001000213623046875,2.3360154559928684e-07,0.01,"(25, 25)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 30}",0.8791208791208791,0.7762430939226519,0.8217270194986073,0.9019607843137255,0.8084507042253521,0.8375069560378409,0.04635409243251924,144,0.9378925331472435,0.8989547038327527,0.9443671766342142,0.9541666666666667,0.9008321775312067,0.9272426515624167,0.022931607232589524
111,0.39648985862731934,0.06998347821077809,0.0012002944946289062,0.00040001881990829716,0.01,"(25, 25)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 35}",0.8379120879120879,0.8370165745856354,0.9025069637883009,0.8851540616246498,0.8056338028169014,0.8536449638286032,0.035148478650844826,127,0.9302163293789253,0.9790940766550522,0.9381084840055632,0.9298611111111111,0.955617198335645,0.9465794398972595,0.01875043294453679
112,0.3776858329772949,0.11664812958644137,0.001200246810913086,0.0003999233672256966,0.01,"(25, 25)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 40}",0.8873626373626373,0.8425414364640884,0.8774373259052924,0.8795518207282913,0.8845070422535212,0.8742348358375069,0.01630236565637743,96,0.9748778785764132,0.9358885017421603,0.9582753824756607,0.9368055555555556,0.9889042995839112,0.95895032358674,0.020850043690302904
113,0.31647157669067383,0.07323588199205103,0.0010001659393310547,2.132480599880018e-07,0.01,"(25, 25)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 45}",0.8708791208791209,0.8011049723756906,0.8969359331476323,0.8879551820728291,0.8112676056338028,0.8536449638286032,0.03974026977232306,127,0.9462665736217725,0.9421602787456446,0.9756606397774688,0.9215277777777777,0.9306518723994452,0.9432534284644218,0.018391870367921975
114,0.3470790863037109,0.05409791398971411,0.0010000705718994141,7.008046367978606e-07,0.01,"(25, 25)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 50}",0.9148351648351648,0.8480662983425414,0.9108635097493036,0.8991596638655462,0.856338028169014,0.885920979410128,0.028107083300440528,66,0.9665038381018841,0.9609756097560975,0.9659248956884562,0.9777777777777777,0.9583911234396671,0.9659146489527766,0.006664512265730063
115,0.3232731819152832,0.0679020194698709,0.001002359390258789,3.9129711606843264e-06,0.01,"(25, 25)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 55}",0.9230769230769231,0.8535911602209945,0.9136490250696379,0.9215686274509803,0.8169014084507042,0.885920979410128,0.04286409101271082,66,0.9741800418702024,0.981184668989547,0.9554937413073713,0.9486111111111111,0.9375866851595007,0.9594112496875464,0.01612761912157521
116,0.41109519004821776,0.04183124894225504,0.0014002799987792968,0.000490037694480031,0.01,"(25, 25)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 60}",0.9120879120879121,0.9005524861878453,0.8997214484679665,0.8739495798319328,0.8760563380281691,0.89259877573734,0.014932214062560359,50,0.9818562456385206,0.9693379790940767,0.978442280945758,0.9729166666666667,0.9750346740638003,0.9755175692817645,0.004334004461597176
117,0.3066719055175781,0.06848457795340382,0.001598215103149414,0.00048841619396399,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 2}",0.37637362637362637,0.31215469613259667,0.3593314763231198,0.4649859943977591,0.29577464788732394,0.3617139677239844,0.059305768512742066,244,0.39846475924633634,0.4062717770034843,0.41863699582753827,0.37430555555555556,0.3668515950069348,0.3929061365279699,0.019475299733368506
118,0.4695063591003418,0.15166115557292142,0.001600503921508789,0.0004901739175802248,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 5}",0.6126373626373627,0.5441988950276243,0.6072423398328691,0.5742296918767507,0.6056338028169014,0.5887590428491931,0.0261138232162971,223,0.636427076064201,0.6452961672473868,0.6710709318497914,0.7027777777777777,0.680998613037448,0.6673141131953211,0.024074259010212894
119,0.6429459095001221,0.18663223366228757,0.001600360870361328,0.0004900571168092678,0.01,"(100, 25, 100)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 10}",0.8269230769230769,0.7817679558011049,0.8133704735376045,0.8375350140056023,0.8,0.8119087367835282,0.01968700747301602,170,0.9316120027913468,0.9198606271777003,0.8574408901251739,0.9527777777777777,0.9348127600554785,0.9193008115854955,0.03267983022066082
120,0.6113409042358399,0.13146478146974452,0.001600360870361328,0.0004899598350408929,0.01,"(100, 25, 100)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 15}",0.8379120879120879,0.7900552486187845,0.8217270194986073,0.876750700280112,0.8225352112676056,0.8297161936560935,0.028158712348956567,153,0.9658060013956734,0.9797909407665505,0.9304589707927677,0.9708333333333333,0.9389736477115118,0.9571725787999673,0.019065992991255262
