,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
234,0.5709317684173584,0.058593077189811195,0.07421703338623047,0.0037608460065537783,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 2}",0.3434065934065934,0.3370165745856354,0.3816155988857939,0.3557422969187675,0.4056338028169014,0.36449638286032277,0.02550101052512676,246,0.3754361479413817,0.38954703832752613,0.3894297635605007,0.3861111111111111,0.4015256588072122,0.38840994394954637,0.008342170067451924
235,0.6433478832244873,0.06157205747516058,0.0796177864074707,0.0045377973559319355,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 5}",0.739010989010989,0.569060773480663,0.6545961002785515,0.6582633053221288,0.6873239436619718,0.6616583194212576,0.05551266685943463,226,0.7424982554082344,0.6878048780487804,0.7190542420027817,0.7222222222222222,0.739251040221914,0.7221661275807867,0.01947137442404527
236,0.6585494995117187,0.12293354451402667,0.07781767845153809,0.004834533484057572,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.8159340659340659,0.7486187845303868,0.7437325905292479,0.803921568627451,0.8394366197183099,0.7902058987200891,0.037817007705861896,211,0.8709002093510119,0.8850174216027874,0.7990264255910987,0.8777777777777778,0.9251040221914009,0.8715651713028153,0.04086142404675215
237,0.616942310333252,0.06894491046844055,0.07481517791748046,0.0020379765800831156,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.8901098901098901,0.8232044198895028,0.7994428969359332,0.896358543417367,0.8591549295774648,0.8536449638286032,0.03756830799573884,195,0.942079553384508,0.9498257839721255,0.8484005563282336,0.9368055555555556,0.9542302357836339,0.9262683370048113,0.039398578392176226
238,0.6467489719390869,0.041608259062859365,0.07561674118041992,0.003012713386956573,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",0.8901098901098901,0.8121546961325967,0.8857938718662952,0.9355742296918768,0.8676056338028169,0.8781302170283807,0.03993861295130131,171,0.9497557571528262,0.9491289198606272,0.9485396383866481,0.9583333333333334,0.9597780859916782,0.9531071469450227,0.0048935608841545845
239,0.6169418334960938,0.059587472598930394,0.07661938667297363,0.005752962367213102,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 25}",0.8818681318681318,0.8176795580110497,0.9136490250696379,0.9243697478991597,0.8732394366197183,0.8820255982192543,0.03748766226348118,158,0.9406838799720866,0.9505226480836237,0.9575799721835884,0.9645833333333333,0.9757281553398058,0.9578195977824876,0.011944875659450346
240,0.629144811630249,0.06938414204586137,0.07541489601135254,0.003776495061937724,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 30}",0.8791208791208791,0.8591160220994475,0.9164345403899722,0.927170868347339,0.8788732394366198,0.8920422927100723,0.025504818500728364,145,0.9546406140963015,0.9609756097560975,0.9700973574408901,0.9736111111111111,0.9764216366158114,0.9671492658040423,0.008136386742118121
241,0.5631298065185547,0.06185239994606342,0.07521514892578125,0.003313254832425346,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 35}",0.9258241758241759,0.8812154696132597,0.9136490250696379,0.9467787114845938,0.8309859154929577,0.8998330550918197,0.04023692874203501,122,0.9797627355198884,0.9651567944250871,0.9700973574408901,0.9652777777777778,0.9355062413314841,0.9631601812990255,0.014812024129269546
242,0.6109370708465576,0.05244144568221767,0.08041801452636718,0.0025747895498807677,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 40}",0.9532967032967034,0.8784530386740331,0.9220055710306406,0.9607843137254902,0.8760563380281691,0.9181969949916527,0.035802007260525924,54,0.9867411025819958,0.9679442508710802,0.9742698191933241,0.9791666666666666,0.978502080443828,0.977324783951379,0.006176938174611216
243,0.5475278377532959,0.044761231788611744,0.07481498718261718,0.0023993836167343157,0.0001,"(25, 25)",45,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 45}",0.9203296703296703,0.8038674033149171,0.9164345403899722,0.9551820728291317,0.856338028169014,0.8903728436282693,0.053742079207063996,149,0.9518492672714585,0.937979094076655,0.9624478442280946,0.9701388888888889,0.9674063800277393,0.9579642948985674,0.011783698398876954
244,0.6009367942810059,0.048187123904080004,0.07541699409484863,0.0023328986378308653,0.0001,"(25, 25)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 50}",0.9203296703296703,0.861878453038674,0.8997214484679665,0.9215686274509803,0.8816901408450705,0.8970506399554814,0.022944195339538717,128,0.9769713886950454,0.9714285714285714,0.9596662030598053,0.9493055555555555,0.9840499306518724,0.96828432987817,0.012396543052133823
245,0.6477488517761231,0.040239471547678644,0.07421517372131348,0.0019393248435242766,0.0001,"(25, 25)",55,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 55}",0.9313186813186813,0.8950276243093923,0.9331476323119777,0.957983193277311,0.8732394366197183,0.9181969949916527,0.03002388016836356,54,0.9825540823447313,0.975609756097561,0.9819193324061196,0.9729166666666667,0.9854368932038835,0.9796873461437924,0.004663176421373971
246,0.6255418300628662,0.07478328358068423,0.07801580429077148,0.004474479427188103,0.0001,"(25, 25)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 60}",0.8901098901098901,0.8839779005524862,0.924791086350975,0.9439775910364145,0.8788732394366198,0.904284919309961,0.025462644583581023,101,0.9490579204466155,0.972822299651568,0.9916550764951322,0.9784722222222222,0.984743411927878,0.9753501861486832,0.014570536674285919
