,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
93,0.2976676464080811,0.03643681495085455,0.0018004417419433595,0.0004001379687844432,0.01,"(25,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",0.5686813186813187,0.5741758241758241,0.5879120879120879,0.5082417582417582,0.49725274725274726,0.5472527472527473,0.03703802098099498,175,0.5693681318681318,0.5831043956043956,0.5885989010989011,0.5185439560439561,0.5006868131868132,0.5520604395604396,0.03566776344421425
94,0.3248738288879395,0.019378609918046304,0.0018002986907958984,0.00040018559567517087,0.01,"(25,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",0.5,0.5741758241758241,0.5082417582417582,0.5,0.5439560439560439,0.5252747252747253,0.02935320964657818,239,0.5,0.5741758241758241,0.5350274725274725,0.5446428571428571,0.5590659340659341,0.5425824175824175,0.02507761770570528
95,0.37128438949584963,0.031922376665676475,0.0016002655029296875,0.0004900766357994065,0.01,"(25,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",0.6181318681318682,0.5,0.48626373626373626,0.5,0.6098901098901099,0.5428571428571428,0.0583712017899751,191,0.5782967032967034,0.5,0.5089285714285714,0.5,0.5851648351648352,0.534478021978022,0.03878007809676461
96,0.42209596633911134,0.04011950438550932,0.0016005516052246093,0.0004900183456226636,0.01,"(25,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",0.5,0.5631868131868132,0.5439560439560439,0.5604395604395604,0.5,0.5335164835164835,0.028145601043660873,223,0.5,0.5796703296703297,0.5769230769230769,0.570054945054945,0.5,0.5453296703296704,0.0371438324860562
97,0.43509831428527834,0.04044189440087047,0.00200042724609375,1.9073486328124998e-07,0.01,"(25,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,252,0.5,0.5,0.5,0.5,0.5,0.5,0.0
98,0.5339214324951171,0.02880517283001113,0.0022005081176757813,0.0009800752961616145,0.01,"(25,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",0.5824175824175825,0.5714285714285714,0.5934065934065934,0.5247252747252747,0.5851648351648352,0.5714285714285714,0.024387187935354007,67,0.5769230769230769,0.5714285714285714,0.6023351648351648,0.5762362637362637,0.5995879120879121,0.5853021978021977,0.012954396431705867
99,0.5403224945068359,0.031613168201369064,0.002200412750244141,0.0004000426582062504,0.01,"(25,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",0.5274725274725275,0.5521978021978022,0.47802197802197804,0.554945054945055,0.5934065934065934,0.5412087912087912,0.03798766157679913,195,0.5652472527472527,0.5233516483516484,0.510989010989011,0.6229395604395604,0.6098901098901099,0.5664835164835165,0.04475029337776962
100,0.5691311836242676,0.01384297757943928,0.0019984722137451174,0.0006296257472123854,0.01,"(25,)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 45}",0.5934065934065934,0.5137362637362637,0.5,0.5027472527472527,0.5769230769230769,0.5373626373626373,0.0396442945220823,215,0.5940934065934066,0.5309065934065934,0.5,0.5068681318681318,0.554945054945055,0.5373626373626375,0.03433681297140445
101,0.5975356101989746,0.022478780509685176,0.0022003173828125,0.00039973260394204083,0.01,"(25,)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,252,0.5,0.5,0.5,0.5,0.5,0.5,0.0
102,0.7065606117248535,0.05056249906596691,0.0020006656646728515,1.1680077279964342e-07,0.01,"(25,)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 55}",0.5384615384615384,0.5906593406593407,0.5357142857142857,0.5576923076923077,0.5604395604395604,0.5565934065934066,0.019703759425319912,136,0.5618131868131868,0.6153846153846154,0.551510989010989,0.6407967032967034,0.5782967032967034,0.5895604395604396,0.03357554245400643
