,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
70,0.3657495180765788,0.007410447879658018,0.0010002454121907551,2.247831920581015e-07,0.01,"(25,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.5032894736842105,0.5,0.5132013201320133,0.5054945054945055,0.005608297104941252,65,0.49422442244224424,0.5,0.5222405271828665,0.5054883165417036,0.01207798948655038
71,0.38875476519266766,0.019401154655520097,0.0010002454121907551,2.247831920581015e-07,0.01,"(25,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.5,0.5181518151815182,0.5,0.506043956043956,0.008554494047799515,59,0.5,0.5041186161449753,0.5,0.5013728720483251,0.0019415342701443014
72,0.17437291145324707,0.025426793216238253,0.0006669362386067709,0.000471595136937897,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.5,0.48514851485148514,0.5,0.4950549450549451,0.006999131493654135,165,0.5,0.5230642504118617,0.5,0.5076880834706206,0.010872591912808004
73,0.21471484502156576,0.00385938992840409,0.0010003248850504558,2.9736021254650284e-07,0.01,"(25, 25)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.5,0.5082508250825083,0.5,0.5027472527472527,0.0038884063853634257,93,0.5,0.49835255354200986,0.5,0.49945085118066995,0.0007766137080577257
74,0.28539808591206867,0.037249834284890274,0.0010004043579101562,3.8933590933214475e-07,0.01,"(25, 25)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.5016447368421053,0.4834983498349835,0.504950495049505,0.4967032967032967,0.009426771086124915,157,0.528052805280528,0.4917627677100494,0.5032948929159803,0.5077034886355193,0.015139759880976537
75,0.3034018675486247,0.017156729510098195,0.0006670951843261719,0.0004717075687024718,0.01,"(25, 25)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.5,0.48184818481848185,0.5,0.493956043956044,0.00855449404779949,170,0.5008250825082509,0.5345963756177924,0.5032948929159803,0.5129054503473411,0.015370906938732366
76,0.31040366490681964,0.024856662834013936,0.0010001659393310547,1.9466795466607238e-07,0.01,"(25, 25)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.5115131578947368,0.5033003300330033,0.4966996699669967,0.5038461538461538,0.006061513813391976,79,0.4892739273927393,0.5016474464579901,0.5,0.4969737912835765,0.005486009351738879
77,0.36841686566670734,0.047797053313520264,0.0010003248850504558,2.247831920581015e-07,0.01,"(25, 25)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.5049342105263158,0.49834983498349833,0.528052805280528,0.5104395604395604,0.012731350031846337,26,0.5239273927392739,0.5,0.5527182866556837,0.5255485597983193,0.02155265759255239
78,0.35541431109110516,0.008180664918477616,0.0009998480478922527,2.9736021254650284e-07,0.01,"(25, 25)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.48519736842105265,0.49504950495049505,0.5412541254125413,0.5071428571428571,0.02443393381910922,41,0.5024752475247525,0.4942339373970346,0.5502471169686985,0.5156521006301619,0.024692659702200585
79,0.41776172320048016,0.05583630458191199,0.0010000069936116536,2.9736021254650284e-07,0.01,"(25, 25)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.524671052631579,0.4867986798679868,0.49504950495049505,0.5021978021978022,0.016269310198455546,99,0.5156765676567657,0.4975288303130148,0.5329489291598023,0.515384775709861,0.014461666743135287
80,0.43809978167215985,0.043161062335567386,0.0010000069936116536,1.1239159602905075e-07,0.01,"(25, 25)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.5049342105263158,0.4900990099009901,0.5247524752475248,0.5065934065934066,0.014188193934522678,50,0.5008250825082509,0.5255354200988468,0.4827018121911038,0.5030207715994005,0.01755553624999458
81,0.23271926244099936,0.026252733814587745,0.0010000069936116536,1.1239159602905075e-07,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 2}",0.5,0.5297029702970297,0.49834983498349833,0.5093406593406593,0.014402236196405356,31,0.5,0.4925864909390445,0.5,0.4975288303130148,0.0034947616862597004
82,0.30406951904296875,0.0600528340087506,0.0010004838307698567,8.104673248279548e-07,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.5,0.5,0.5115511551155115,0.5038461538461538,0.0054437689395087545,79,0.5,0.5,0.5444810543657331,0.514827018121911,0.020968570117558254
83,0.34241167704264325,0.02389875173086521,0.001666704813639323,0.0009433028462518065,0.01,"(100, 25, 100)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}",0.49835526315789475,0.504950495049505,0.5066006600660066,0.5032967032967033,0.0035640638055630387,87,0.5082508250825083,0.5,0.5197693574958814,0.5093400608594633,0.008107473913344373
84,0.3270740509033203,0.014992374117360452,0.0010000864664713542,1.1239159602905075e-07,0.01,"(100, 25, 100)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}",0.5131578947368421,0.49834983498349833,0.5,0.5038461538461538,0.006629531251067477,79,0.5099009900990099,0.5181219110378913,0.5,0.5093409670456337,0.007408829609843745
85,0.4257635275522868,0.050964473451878475,0.0016671021779378254,0.00047159517711601586,0.01,"(100, 25, 100)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}",0.49506578947368424,0.5033003300330033,0.5148514851485149,0.5043956043956044,0.008116657096784793,76,0.5099009900990099,0.556013179571664,0.5255354200988468,0.5304831965898402,0.01914756509575229
