,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
80,0.29526681900024415,0.14958727624889606,0.001800680160522461,0.0004001379119606201,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 10}",0.7005494505494505,0.728021978021978,0.7115384615384616,0.6675824175824175,0.6456043956043956,0.6906593406593406,0.02997402570766121,42,0.7287087912087912,0.7774725274725275,0.7451923076923077,0.7472527472527473,0.6751373626373627,0.7347527472527473,0.033706787244408405
81,0.20744705200195312,0.02218292428862214,0.0018004417419433595,0.00039978030187482947,0.01,"(50,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 15}",0.6675824175824175,0.7307692307692307,0.6978021978021978,0.6538461538461539,0.6565934065934066,0.6813186813186813,0.029229529842352484,51,0.709478021978022,0.7479395604395604,0.7417582417582418,0.7307692307692307,0.717032967032967,0.7293956043956045,0.014478569333023467
82,0.19364418983459472,0.028841259219619192,0.0018003463745117187,0.0004002094694901353,0.01,"(50,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 20}",0.6236263736263736,0.695054945054945,0.6758241758241759,0.6263736263736264,0.6456043956043956,0.6532967032967033,0.027984245226916133,76,0.654532967032967,0.709478021978022,0.7012362637362637,0.7403846153846154,0.7259615384615384,0.7063186813186813,0.029202405060147787
83,0.19104523658752443,0.06387501014622053,0.001798391342163086,0.0007478936139051692,0.01,"(50,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 25}",0.6263736263736264,0.6648351648351648,0.6620879120879121,0.5714285714285714,0.5796703296703297,0.6208791208791209,0.03950698464230229,125,0.6057692307692307,0.7527472527472527,0.7376373626373627,0.6689560439560439,0.6208791208791209,0.6771978021978022,0.05950196837948887
84,0.21524901390075685,0.06268921957067637,0.0020003318786621094,2.132480599880018e-07,0.01,"(50,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 30}",0.6923076923076923,0.6703296703296703,0.6291208791208791,0.5769230769230769,0.6153846153846154,0.6368131868131868,0.04076315822195914,92,0.7994505494505495,0.7273351648351648,0.7156593406593407,0.6401098901098901,0.6627747252747253,0.7090659340659341,0.05557774466645693
85,0.168037748336792,0.03833876691387661,0.0018005847930908203,0.0004000902850766651,0.01,"(50,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 35}",0.6181318681318682,0.5851648351648352,0.6071428571428571,0.5686813186813187,0.554945054945055,0.5868131868131868,0.023414588739189574,178,0.7067307692307693,0.5927197802197802,0.6510989010989011,0.6153846153846154,0.5865384615384616,0.6304945054945056,0.04432579717425778
86,0.17203950881958008,0.03752691836817241,0.0020001411437988283,4.370284743266907e-07,0.01,"(50,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 40}",0.5714285714285714,0.5741758241758241,0.6208791208791209,0.5851648351648352,0.5769230769230769,0.5857142857142857,0.01817344550389148,187,0.5810439560439561,0.5611263736263736,0.698489010989011,0.6929945054945055,0.6559065934065934,0.637912087912088,0.05684622925880245
87,0.22085227966308593,0.09044577352826845,0.0021984100341796873,0.000396156339732625,0.01,"(50,)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 45}",0.5274725274725275,0.6291208791208791,0.5164835164835165,0.5714285714285714,0.5741758241758241,0.5637362637362637,0.03997795552435437,223,0.6188186813186813,0.8289835164835165,0.5260989010989011,0.6778846153846154,0.7699175824175825,0.6843406593406594,0.10735010949661916
88,0.21464862823486328,0.06372794105656478,0.002002525329589844,3.7919798568861088e-06,0.01,"(50,)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 50}",0.6291208791208791,0.5824175824175825,0.6401098901098901,0.5576923076923077,0.5659340659340659,0.595054945054945,0.03344885990159212,171,0.782967032967033,0.6339285714285714,0.8248626373626373,0.635989010989011,0.7046703296703297,0.7164835164835165,0.07694196196752241
89,0.2050464630126953,0.04181371360635278,0.0020006656646728515,1.9073486328124998e-07,0.01,"(50,)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 55}",0.6153846153846154,0.6153846153846154,0.5824175824175825,0.5384615384615384,0.5796703296703297,0.5862637362637363,0.028423114629401256,184,0.7877747252747253,0.7417582417582418,0.632554945054945,0.7417582417582418,0.6696428571428571,0.7146978021978023,0.05582502757418916
